A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,realScore
0.00,6.00,0.00,0.00,0.00,27.92,9.90,23.74,30.00,0.00,6.00,0.00,0.00,5.94,76.91,0.00,59.64,12.00,15.81,7.85,50.46,89.34,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0,20.33,18.69,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.7,21.17,21.34,7.4
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,1.50,9.55,5.79,21.79,23.34,4.2
0.00,1.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.25,0.00,4.75,3.38,9.89,4.87,28.45,25.83,0.6
0.00,1.88,0.00,0.00,0.00,5.56,0.00,1.75,1.50,0.00,0.00,0.00,0.00,0.00,20.03,0.00,9.09,5.42,11.72,6.18,35.81,29.48,0.0
0.00,1.97,0.00,0.00,0.00,5.89,0.00,1.94,1.88,0.00,0.00,0.00,0.00,0.00,21.51,0.00,9.77,5.86,12.20,6.18,41.45,30.87,0.0
0.00,1.98,0.00,0.00,0.00,5.95,0.00,1.97,1.94,0.00,0.00,0.00,0.00,0.00,21.75,0.00,9.89,5.93,12.28,6.18,43.73,33.43,0.0
0.00,1.99,0.00,0.00,0.00,5.97,0.00,1.98,1.97,0.00,0.00,0.00,0.00,0.00,21.88,0.00,9.94,5.96,12.32,6.18,46.86,34.72,0.0
0.00,2.00,0.00,0.00,0.00,5.99,0.00,1.99,1.98,0.00,0.00,0.00,0.00,0.00,21.94,0.00,9.97,5.98,12.34,6.18,50.43,35.36,0.0
0.00,2.00,0.00,0.00,0.00,5.99,0.00,2.00,1.99,0.00,0.00,0.00,0.00,0.00,21.97,0.00,9.99,5.99,12.35,5.83,53.22,37.68,4.2
0.00,2.00,0.00,0.00,0.00,7.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,22.98,0.00,9.99,7.00,12.01,5.6,54.61,38.84,2.7
0.00,2.00,0.00,0.00,0.00,7.50,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,24.49,0.00,12.00,7.50,11.60,6.49,55.30,41.42,6.7
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.4,0.00,0.00,15.9
0.00,0.00,0.00,0.00,0.00,3.00,2.50,1.50,2.50,0.00,1.50,0.00,0.00,1.50,4.00,0.00,1.50,1.50,21.76,13.58,4.50,2.00,1.1
0.00,1.00,0.00,0.00,0.00,8.50,4.25,1.75,3.25,0.00,1.75,0.00,0.00,1.75,7.00,0.00,4.75,1.75,24.46,12.58,7.25,4.00,-1.1
0.00,1.75,0.00,0.00,0.00,18.62,5.56,1.94,3.81,0.00,1.94,0.00,0.00,1.94,12.25,0.00,8.69,1.94,24.98,12.58,12.81,13.50,0.0
0.00,1.88,0.00,0.00,0.00,20.31,5.78,1.97,3.91,0.00,1.97,0.00,0.00,1.97,13.12,0.00,9.34,1.97,25.07,12.58,15.41,15.75,0.0
0.00,1.97,0.00,0.00,0.00,21.58,5.95,1.99,3.98,0.00,1.99,0.00,0.00,1.99,13.78,0.00,9.84,1.99,25.14,11.48,18.85,22.94,2.7
0.00,1.98,0.00,0.00,0.00,23.79,7.97,3.00,4.99,0.00,2.00,0.00,0.00,2.00,13.89,0.00,9.92,2.00,24.05,11.48,22.43,25.47,0.0
0.00,1.99,0.00,0.00,0.00,24.89,8.99,3.50,5.49,0.00,2.00,0.00,0.00,2.00,13.95,0.00,9.96,2.00,23.50,11.48,25.21,29.73,0.0
0.00,2.00,0.00,0.00,0.00,25.45,9.49,3.75,5.75,0.00,2.00,0.00,0.00,2.00,13.97,0.00,9.98,2.00,23.23,11.48,26.61,32.87,0.0
0.00,2.00,0.00,0.00,0.00,25.86,9.87,3.94,5.94,0.00,2.00,0.00,0.00,2.00,13.99,0.00,9.99,2.00,23.03,11.48,28.65,38.22,0.0
0.00,2.00,0.00,0.00,0.00,25.93,9.94,3.97,5.97,0.00,2.00,0.00,0.00,2.00,14.00,0.00,10.00,2.00,22.99,11.57,29.33,41.11,6.6
1.00,2.00,0.00,0.00,0.00,25.97,9.97,3.98,7.98,0.00,2.00,0.00,0.00,2.00,22.00,0.00,12.00,2.00,23.07,11.08,31.66,43.55,3.7
1.50,3.00,0.00,0.00,0.00,26.98,9.98,3.99,8.99,0.00,2.00,0.00,0.00,2.00,27.00,0.00,14.00,3.00,22.61,11.6,33.83,44.78,5.4
1.75,3.50,0.00,0.00,0.00,28.49,9.99,5.00,11.50,0.00,2.00,0.00,0.00,2.00,32.50,0.00,15.00,4.50,22.91,12.0,34.92,45.39,7.4
1.97,5.44,0.00,0.00,0.00,34.81,10.00,7.37,20.44,0.00,2.00,0.00,0.00,2.00,51.06,0.00,33.87,7.31,24.91,11.37,37.86,47.67,2.0
1.98,6.72,0.00,0.00,0.00,36.41,10.00,7.69,21.22,0.00,2.00,0.00,0.00,2.00,52.53,0.00,38.94,7.66,23.83,11.11,36.93,49.84,1.2
1.99,8.36,0.00,0.00,0.00,41.20,11.00,7.84,23.61,0.00,2.00,0.00,0.00,2.00,58.27,0.00,44.47,7.83,23.02,13.03,36.47,51.92,11.7
2.00,9.18,0.00,0.00,0.00,45.60,11.50,7.92,25.80,1.00,3.00,0.00,0.00,2.00,62.13,0.00,48.23,7.91,24.54,12.67,38.23,53.96,8.6
2.00,9.59,0.00,0.00,0.00,49.80,11.75,8.96,27.90,1.50,3.50,0.00,0.00,2.00,68.07,0.00,53.12,8.96,24.94,11.68,39.12,54.98,1.6
2.00,9.79,0.00,0.00,0.00,51.90,11.87,9.48,29.95,1.75,3.75,0.00,0.00,4.00,74.03,0.00,57.56,9.48,24.15,11.2,39.56,56.49,-0.5
2.00,10.90,0.00,0.00,0.00,54.95,13.94,9.74,32.98,1.88,3.87,0.00,0.00,5.00,80.02,0.00,59.78,9.74,23.28,11.2,40.78,58.24,0.0
2.00,11.72,0.00,0.00,0.00,58.24,16.48,9.94,35.24,1.97,3.97,0.00,0.00,5.75,87.50,0.00,68.44,9.93,24.24,12.55,41.69,63.56,7.9
2.00,11.86,0.00,0.00,0.00,60.12,17.24,11.97,36.62,1.98,3.98,0.00,0.00,6.87,93.75,0.00,74.22,10.97,24.67,12.48,41.85,65.78,5.9
3.00,11.93,0.00,0.00,0.00,65.06,17.62,12.98,38.31,1.99,3.99,0.00,0.00,7.44,98.88,0.00,79.11,11.48,24.81,12.0,42.92,67.89,2.5
3.75,11.98,0.00,0.00,0.00,72.76,17.91,13.75,42.08,2.00,4.00,0.00,0.00,7.86,104.72,0.00,85.78,11.87,23.65,12.04,44.73,72.97,3.0
3.87,11.99,0.00,0.00,0.00,74.38,17.95,15.87,44.04,2.00,4.00,0.00,0.00,7.93,108.36,0.00,87.89,11.94,23.87,11.87,45.37,75.49,2.8
3.94,13.00,0.00,0.00,0.00,77.19,18.98,17.94,46.02,2.00,4.00,0.00,0.00,7.96,114.18,0.00,91.94,11.97,23.80,12.03,45.68,78.74,3.4
3.97,13.50,0.00,0.00,0.00,81.60,19.49,18.97,49.01,2.00,4.00,0.00,0.00,7.98,119.09,0.00,96.97,11.98,23.93,10.81,47.84,81.37,-3.2
3.98,14.75,0.00,0.00,0.00,84.80,19.74,19.48,51.50,2.00,4.00,0.00,0.00,7.99,130.54,0.00,100.49,11.99,22.78,11.94,48.92,86.69,4.2
3.99,15.37,0.00,0.00,0.00,90.40,19.87,19.74,55.75,2.00,4.00,0.00,0.00,8.00,142.27,0.00,103.24,13.00,23.33,11.01,50.46,89.34,-1.3
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.61,0.00,0.00,-1.8
0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,3.61,4.17,0.00,4.00,4.8
0.00,1.50,0.00,0.00,0.00,5.50,0.00,3.00,2.50,0.00,0.00,0.00,0.00,0.00,3.50,0.00,3.50,0.00,5.97,5.06,2.00,7.00,4.9
0.00,1.75,0.00,0.00,0.00,6.75,0.00,4.50,5.25,0.00,0.00,0.00,0.00,0.00,6.75,0.00,7.75,0.00,8.05,4.91,3.00,9.50,2.1
0.00,2.99,0.00,0.00,0.00,16.40,1.94,5.95,11.73,0.00,0.00,0.00,0.00,0.00,20.27,0.00,24.18,0.00,9.98,6.82,11.34,21.48,10.1
1.00,3.50,0.00,0.00,0.00,18.20,2.97,6.98,11.86,0.00,0.00,0.00,0.00,0.00,24.14,0.00,29.09,0.00,11.81,7.95,11.67,23.74,12.1
1.50,3.75,0.00,0.00,0.00,20.10,3.48,8.49,12.93,0.00,0.00,0.00,0.00,0.00,30.07,0.00,36.54,1.00,13.86,7.85,13.84,24.87,8.1
1.75,3.87,0.00,0.00,0.00,24.05,3.74,10.24,14.47,0.00,1.00,0.00,0.00,0.00,37.03,0.00,41.27,1.50,14.78,6.75,16.92,27.44,1.1
1.94,3.97,1.00,0.00,0.00,35.51,4.94,11.56,17.12,0.00,1.75,0.00,0.00,1.00,46.76,0.00,48.82,1.88,12.65,5.58,20.23,35.86,0.0
1.97,3.98,1.50,0.00,0.00,38.76,5.47,11.78,17.56,0.00,1.88,0.00,0.00,1.50,48.38,0.00,50.41,1.94,11.90,5.58,23.11,37.93,0.0
1.98,3.99,1.75,0.00,0.00,40.38,5.73,11.89,17.78,0.00,1.94,0.00,0.00,1.75,49.19,0.00,51.20,1.97,11.53,6.38,24.56,39.96,2.1
2.99,5.00,1.88,0.00,0.00,44.19,5.87,11.95,17.89,0.00,1.97,0.00,0.00,1.88,52.59,0.00,52.60,1.98,12.15,6.38,28.28,43.98,0.0
3.50,5.50,1.94,0.00,0.00,46.09,5.93,11.97,17.94,0.00,1.98,0.00,0.00,1.94,54.30,0.00,53.30,1.99,12.45,6.38,32.14,45.99,0.0
3.75,5.75,1.97,0.00,0.00,47.05,5.97,11.99,17.97,0.00,1.99,0.00,0.00,1.97,55.15,0.00,53.65,2.00,12.61,5.66,34.07,48.00,-1.2
3.87,5.87,1.98,0.00,0.00,53.52,5.98,11.99,20.99,0.00,2.00,0.00,0.00,1.98,59.57,0.00,54.83,2.00,11.96,6.34,36.03,50.00,3.2
3.97,7.47,2.00,0.00,0.00,61.38,6.00,13.50,24.25,0.00,2.00,0.00,0.00,2.00,69.89,0.00,62.71,2.00,12.15,6.69,38.51,57.00,4.5
3.98,7.73,2.00,0.00,0.00,63.69,6.00,13.75,25.12,0.00,2.00,0.00,0.00,2.00,72.95,0.00,64.35,3.00,12.77,6.26,39.25,59.50,1.7
3.99,7.87,2.00,0.00,0.00,67.85,6.00,13.87,26.56,0.00,2.00,0.00,0.00,2.00,75.47,0.00,67.18,3.50,12.64,7.75,40.63,62.75,10.1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,1.00,9.58,11.24,3.00,0.00,3.4
0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,5.00,0.00,9.00,1.50,16.03,12.56,4.50,2.00,7.6
0.00,1.00,0.00,0.00,0.00,3.75,1.50,0.00,7.88,0.00,0.00,0.00,0.00,0.00,11.25,0.00,18.75,1.88,21.15,10.86,9.62,9.00,0.0
0.00,1.50,0.00,0.00,0.00,4.88,1.75,0.00,9.94,0.00,0.00,0.00,0.00,0.00,12.62,0.00,20.38,1.94,21.43,12.01,12.81,13.50,8.0
0.00,2.75,0.00,0.00,0.00,8.44,1.88,0.00,11.97,0.00,0.00,0.00,0.00,0.00,13.31,0.00,25.19,2.97,22.73,11.89,15.41,15.75,4.9
1.00,3.38,0.00,0.00,0.00,13.22,1.94,0.00,13.98,0.00,0.00,0.00,0.00,0.00,15.66,0.00,28.59,3.48,23.25,11.89,17.70,19.88,0.0
1.50,3.69,0.00,0.00,0.00,15.61,1.97,0.00,14.99,0.00,0.00,0.00,0.00,0.00,16.83,0.00,30.30,3.74,23.52,10.66,18.85,22.94,-0.1
1.75,3.84,0.00,0.00,0.00,18.80,1.98,0.00,15.50,0.00,0.00,0.00,0.00,0.00,19.41,0.00,32.15,3.87,22.42,10.08,22.43,25.47,-1.6
1.88,4.92,0.00,0.00,0.00,21.40,1.99,0.00,15.75,0.00,0.00,0.00,0.00,0.00,22.71,0.00,34.07,3.94,21.29,10.08,25.21,29.73,0.0
1.94,5.46,0.00,0.00,0.00,22.70,2.00,0.00,15.87,0.00,0.00,0.00,0.00,0.00,24.35,0.00,35.04,3.97,20.72,12.18,26.61,32.87,11.4
1.97,5.73,0.00,0.00,0.00,24.35,2.00,1.00,17.94,0.00,0.00,0.00,0.00,0.00,28.18,0.00,39.52,4.98,22.54,10.69,27.30,34.43,0.5
1.98,5.87,0.00,0.00,0.00,25.18,2.00,1.50,19.97,0.00,0.00,0.00,0.00,0.00,30.09,0.00,41.76,5.49,21.96,10.69,28.65,38.22,0.0
1.99,5.93,0.00,0.00,0.00,25.59,2.00,1.75,20.98,0.00,0.00,0.00,0.00,0.00,31.04,0.00,42.88,5.75,21.67,10.69,29.33,41.11,0.0
2.00,5.97,0.00,0.00,0.00,25.79,2.00,1.88,21.49,0.00,0.00,0.00,0.00,0.00,31.52,0.00,43.44,5.87,21.53,10.69,31.66,43.55,0.0
2.00,5.98,0.00,0.00,0.00,25.90,2.00,1.94,21.75,0.00,0.00,0.00,0.00,0.00,31.76,0.00,43.72,5.94,21.45,10.69,33.83,44.78,0.0
2.00,5.99,0.00,0.00,0.00,25.95,2.00,1.97,21.87,0.00,0.00,0.00,0.00,0.00,31.88,0.00,43.86,5.97,21.42,10.69,34.92,45.39,0.0
2.00,6.00,0.00,0.00,0.00,25.97,2.00,1.98,21.94,0.00,0.00,0.00,0.00,0.00,31.94,0.00,43.93,5.98,21.40,10.69,35.46,46.69,0.0
2.00,6.00,0.00,0.00,0.00,25.99,2.00,1.99,21.97,0.00,0.00,0.00,0.00,0.00,31.97,0.00,43.96,5.99,21.39,10.69,35.73,47.35,0.0
2.00,6.00,0.00,0.00,0.00,25.99,2.00,2.00,21.98,0.00,0.00,0.00,0.00,0.00,31.99,0.00,43.98,6.00,21.38,10.69,37.86,47.67,0.0
2.00,6.00,0.00,0.00,0.00,26.00,2.00,2.00,21.99,0.00,0.00,0.00,0.00,0.00,31.99,0.00,43.99,6.00,21.38,10.29,36.93,49.84,3.9
2.00,6.00,0.00,0.00,0.00,26.00,2.00,2.00,23.00,0.00,0.00,0.00,0.00,1.00,34.00,0.00,47.00,6.00,20.98,9.41,36.47,51.92,-1.6
2.00,6.00,0.00,0.00,0.00,29.00,3.00,2.00,23.75,0.00,0.00,0.00,0.00,1.75,38.50,0.00,52.25,7.00,21.38,9.6,39.12,54.98,-1.3
2.00,6.00,0.00,0.00,0.00,31.50,3.50,2.00,23.87,0.00,0.00,0.00,0.00,1.88,40.25,0.00,54.12,7.50,20.29,9.6,39.56,56.49,0.0
2.00,6.00,0.00,0.00,0.00,32.75,3.75,2.00,23.94,0.00,0.00,0.00,0.00,1.94,41.12,0.00,55.06,7.75,19.75,9.6,40.78,58.24,0.0
2.00,6.00,0.00,0.00,0.00,33.37,3.87,2.00,23.97,0.00,0.00,0.00,0.00,1.97,41.56,0.00,55.53,7.87,19.47,9.6,41.39,59.12,0.0
2.00,6.00,0.00,0.00,0.00,33.69,3.94,2.00,23.98,0.00,0.00,0.00,0.00,1.98,41.78,0.00,55.77,7.94,19.34,9.6,41.69,63.56,0.0
2.00,6.00,0.00,0.00,0.00,33.84,3.97,2.00,23.99,0.00,0.00,0.00,0.00,1.99,41.89,0.00,55.88,7.97,19.27,9.6,41.85,65.78,0.0
2.00,6.00,0.00,0.00,0.00,33.92,3.98,2.00,24.00,0.00,0.00,0.00,0.00,2.00,41.95,0.00,55.94,7.98,19.23,9.6,42.92,67.89,0.0
2.00,6.00,0.00,0.00,0.00,33.96,3.99,2.00,24.00,0.00,0.00,0.00,0.00,2.00,41.97,0.00,55.97,7.99,19.22,10.09,43.46,69.95,4.2
2.00,6.00,0.00,0.00,0.00,33.98,6.00,2.00,24.00,0.00,0.00,0.00,0.00,2.00,45.99,0.00,57.99,8.00,19.70,10.12,44.73,72.97,4.0
2.00,6.00,0.00,0.00,0.00,34.99,7.00,2.00,25.00,0.00,0.00,0.00,0.00,3.00,47.99,0.00,61.99,8.00,19.97,9.82,45.37,75.49,2.7
3.00,7.00,0.00,0.00,0.00,41.75,8.75,2.00,30.75,0.00,0.00,0.00,0.00,3.75,52.00,0.00,69.00,8.00,20.15,9.31,47.84,81.37,-0.4
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0,0.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,2.52,9.62,9.00,4.1
0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,5.00,0.00,4.39,4.12,12.81,13.50,8.9
0.00,2.75,0.00,0.00,0.00,9.75,0.00,1.50,3.50,0.00,0.00,0.00,0.00,0.00,12.75,0.00,14.25,1.50,5.41,3.58,17.70,19.88,4.7
1.50,3.84,0.00,0.00,0.00,16.97,0.00,1.94,3.94,0.00,0.00,0.00,0.00,0.00,19.09,0.00,24.53,1.94,7.53,3.14,25.21,29.73,-0.3
1.75,4.92,0.00,0.00,0.00,19.48,0.00,2.97,5.97,0.00,0.00,0.00,0.00,0.00,21.55,0.00,26.27,1.97,6.90,3.14,26.61,32.87,0.0
1.88,5.46,0.00,0.00,0.00,20.74,0.00,3.48,6.98,0.00,0.00,0.00,0.00,0.00,22.77,0.00,27.13,1.98,6.59,3.18,27.30,34.43,0.2
1.97,8.37,0.00,0.00,0.00,26.69,0.00,5.37,11.75,0.00,0.00,0.00,0.00,0.00,37.69,0.00,32.78,2.00,6.08,3.15,29.33,41.11,0.9
1.99,9.59,0.00,0.00,0.00,29.17,0.00,5.84,14.94,0.00,0.00,0.00,0.00,0.00,51.92,0.00,37.70,3.00,7.17,4.36,33.83,44.78,5.9
2.00,12.70,1.00,0.00,0.00,35.40,0.00,5.98,17.87,0.00,0.00,0.00,0.00,0.00,61.74,0.00,48.96,6.62,8.25,4.08,35.73,47.35,0.0
2.00,13.67,1.75,0.00,0.00,37.35,0.00,7.00,20.47,0.00,0.00,0.00,0.00,0.00,69.44,0.00,55.74,7.66,8.35,4.39,36.93,49.84,4.4
3.00,13.92,1.94,0.00,0.00,37.84,0.00,7.75,27.62,0.00,0.00,0.00,0.00,0.00,78.36,0.00,62.94,7.91,9.14,4.86,38.23,53.96,0.0
3.94,13.99,2.00,0.00,0.00,43.49,0.00,7.98,31.85,0.00,0.00,0.00,0.00,0.00,86.27,0.00,71.81,8.99,10.01,5.57,41.39,59.12,0.0
3.97,14.00,2.00,0.00,0.00,44.74,0.00,7.99,32.93,0.00,0.00,0.00,0.00,0.00,88.14,0.00,73.90,9.50,10.58,5.03,41.69,63.56,5.4
3.98,14.00,2.00,0.00,0.00,46.37,0.00,8.00,33.46,0.00,0.00,0.00,0.00,0.00,91.07,0.00,75.95,10.75,10.32,5.31,41.85,65.78,6.0
3.99,14.00,2.00,0.00,0.00,50.19,0.00,8.00,36.73,0.00,0.00,0.00,0.00,0.00,97.53,0.00,81.98,11.37,10.47,4.28,42.92,67.89,-0.6
4.00,15.00,2.00,0.00,0.00,55.09,0.00,9.00,38.37,0.00,0.00,0.00,0.00,0.00,103.77,0.00,86.99,11.69,9.51,4.86,43.46,69.95,2.9
4.00,15.87,2.00,0.00,0.00,59.39,1.75,11.62,39.80,0.00,0.00,0.00,0.00,0.00,112.72,0.00,93.12,11.96,9.69,4.86,45.68,78.74,0.0
4.00,15.94,2.00,0.00,0.00,59.69,1.88,11.81,39.90,0.00,0.00,0.00,0.00,0.00,113.36,0.00,93.56,11.98,9.71,4.86,47.84,81.37,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.0,3.00,0.00,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,2.0,12.81,13.50,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.98,2.0,18.85,22.94,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.99,2.0,22.43,25.47,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,25.21,29.73,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,28.65,38.22,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,29.33,41.11,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,31.66,43.55,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,33.83,44.78,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,34.92,45.39,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,37.86,47.67,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,36.47,51.92,0.0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.0,38.23,53.96,0.0
